model,weighted_f1,macro_f1,micro_f1,high_f1,low_f1,medium_f1,members,weight_vector,class_adjustments,stacking_members,source_weights,specialist_model_name,country_strategy_counter,lambda_high,lambda_hm,high_scale,class_model_map,class_scales
weighted_ensemble_optimized,0.8776985641272222,0.8190268805895281,0.8818881264296111,0.7398568019093079,0.9287731887930376,0.7884506510662389,"['extra_trees', 'xgboost', 'xgboost_tuned', 'random_forest']","[0.4, 0.45, 0.0, 0.15]","[1.15, 1.0, 0.95]",,,,,,,,,
binary_guided_ensemble,0.8771859498256058,0.8148903325890107,0.8814722395508422,0.7272727272727273,0.928915018706574,0.7884832517877305,,,,,,,,0.2,0.15,1.0,,
geo_weighted_blend,0.8761121496170762,0.816225289582354,0.8802245789145352,0.7348394768133175,0.9278397798501758,0.7859966120835686,,,"[1.05, 1.0, 1.0]",,"[0.9500000000000001, 0.04999999999999993]",xgboost_tuned,"{'eswatini': {'country_only': 5, 'weighted_specialist': 0}, 'lesotho': {'country_only': 0, 'weighted_specialist': 5}, 'malawi': {'country_only': 5, 'weighted_specialist': 0}, 'zimbabwe': {'country_only': 5, 'weighted_specialist': 0}}",,,,,
class_specialist_ensemble,0.8759516975963637,0.8168661574742823,0.8802245789145352,0.7369696969696969,0.9272685644508891,0.7863602110022607,,,,,,,,,,,"{'High': 'xgboost', 'Low': 'xgboost_tuned', 'Medium': 'extra_trees'}","{'High': 1.1, 'Medium': 0.95, 'Low': 1.0}"
soft_voting_top3,0.8744379210850166,0.8118963617133373,0.8786650031191516,0.7243510506798516,0.9266651372638984,0.7846728971962617,"['extra_trees', 'xgboost', 'xgboost_tuned']",,,,,,,,,,,
extra_trees,0.8718706567739346,0.8052343485590304,0.874714285868732,0.7075043752132167,0.9243868263240843,0.7838118441397907,,,,,,,,,,,,
xgboost,0.8717074535200153,0.8090797881181452,0.8763784605438272,0.722626194266177,0.9248587844570869,0.7797543856311717,,,,,,,,,,,,
xgboost_tuned,0.8710000372054465,0.8058746809340157,0.8755469137684427,0.7139900359151574,0.9248775657241385,0.778756441162751,,,,,,,,,,,,
random_forest,0.869599871681271,0.8029556710050247,0.8734667224526819,0.7072907634651611,0.9235819335850024,0.7779943159649108,,,,,,,,,,,,
lightgbm_tuned,0.8627010443848226,0.8012662567379858,0.8626540196743004,0.7153053212474514,0.9140285576024422,0.7744648913640636,,,,,,,,,,,,
lightgbm,0.8612743951841878,0.8002924121587709,0.8614059156960874,0.7163303610225087,0.9131826938126704,0.7713641816411339,,,,,,,,,,,,
stacked_logistic_top_models,0.8523699278419861,0.7759411904099176,0.8502807236431691,0.6649122807017543,0.9133515864068288,0.7495597041211695,,,,"['extra_trees', 'xgboost', 'xgboost_tuned', 'random_forest']",,,,,,,,
catboost,0.8432568855259195,0.7739094785753727,0.8391574041340032,0.6760143979086519,0.9005903894421955,0.7451236483752707,,,,,,,,,,,,
logistic_regression,0.8309768054796326,0.7397032590882227,0.8258490880175747,0.6024419894935651,0.9005265550016256,0.7161412327694773,,,,,,,,,,,,
