segment,group,rows,weighted_f1,macro_f1
country,eswatini,2674,0.8900847889129233,0.8547840913851349
country,lesotho,1944,0.711351772334755,0.4607625180605977
country,malawi,2388,0.8933067655707527,0.764464899557313
country,zimbabwe,2612,0.9660931817492826,0.861384933693337
offers_credit_to_customers,No,2730,0.9065161838989606,0.8398367163307402
offers_credit_to_customers,"Yes, always",385,0.9221656014930553,0.856257533223518
offers_credit_to_customers,"Yes, sometimes",4557,0.9257003268357002,0.8654050123146614
offers_credit_to_customers,nan,1946,0.7116284646154182,0.4608665428990446
business_age_bucket,0-1,1711,0.8804370751778637,0.8494647634153559
business_age_bucket,16+,1041,0.8671305544402599,0.8073153859530456
business_age_bucket,2-3,2288,0.8790413284039478,0.812580217716332
business_age_bucket,4-7,2447,0.8787161761439404,0.8201750616533227
business_age_bucket,8-15,1879,0.8750605009521508,0.8173195774480685
business_age_bucket,nan,252,0.8957046669310821,0.6539463992294181
